lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
224,0,65.0,10,2,3,2,1,0,0,1
5,1,106.68,11,6,4,3,2,3,0,1
1,0,60.0,2,28,4,1,2,0,0,0
211,0,100.0,5,20,4,2,0,0,0,0
48,0,94.5,4,11,4,1,1,3,0,0
346,1,115.0,9,13,4,2,0,1,0,0
34,1,107.55,10,15,4,3,1,0,0,1
83,1,105.61,12,26,4,3,1,0,3,1
121,1,96.9,7,6,3,4,0,0,0,1
44,3,133.44,10,18,4,5,0,0,3,1
0,0,85.03,9,11,4,0,1,3,0,1
35,1,140.4,4,30,4,1,2,0,3,1
30,0,88.0,11,26,4,1,2,3,0,0
95,2,90.0,11,20,4,0,2,0,0,0
47,2,94.5,10,20,4,2,0,0,0,1
256,1,115.0,6,15,4,2,0,1,0,0
0,0,96.0,10,5,3,0,1,0,0,1
1,1,96.0,8,10,4,3,1,3,0,1
99,0,65.0,10,30,4,2,2,0,0,0
12,0,72.0,10,4,3,0,1,0,0,1
122,0,67.0,11,25,2,1,0,0,0,1
2,0,85.0,3,20,3,4,2,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
130,1,94.5,5,22,4,1,2,3,0,1
99,1,114.3,4,28,4,2,0,0,0,1
60,0,65.0,9,21,3,1,1,0,0,1
2,0,110.0,5,19,0,2,0,0,3,0
37,0,37.33,11,6,4,2,1,0,0,0
56,0,82.0,9,17,3,2,0,1,0,1
3,1,177.5,9,19,4,1,1,0,3,1
107,1,87.5,11,13,4,2,2,0,0,1
56,1,82.44,12,7,4,3,0,0,1,1
2,1,69.5,1,9,4,1,0,3,0,1
72,0,85.5,10,7,3,2,0,0,0,1
23,1,115.0,4,27,4,1,0,3,0,1
34,0,81.0,6,19,4,1,2,0,0,0
289,0,67.0,10,17,3,1,0,0,0,1
247,0,63.75,11,19,4,3,2,3,0,0
186,1,121.8,7,30,4,1,2,0,3,0
64,2,93.6,11,1,4,4,0,0,0,1
35,1,102.0,6,21,4,2,0,0,0,1
96,1,121.8,4,10,4,1,2,0,0,1
41,1,98.1,6,27,4,1,1,3,0,0
55,1,60.0,11,18,3,4,0,0,3,1
146,0,75.0,12,29,3,3,0,0,0,1
32,0,73.0,11,20,3,2,0,0,0,1
55,0,104.0,4,6,3,1,0,1,0,1
57,1,79.2,11,1,4,4,0,3,0,1
7,2,125.8,12,29,4,3,1,0,3,1
124,0,87.95,5,30,4,5,2,3,0,1
169,0,106.0,4,22,4,2,2,1,0,0
6,1,136.67,5,16,4,2,1,0,0,1
51,1,60.0,11,11,3,4,0,0,3,1
13,2,89.0,6,13,4,0,1,3,0,1
100,1,136.0,5,19,4,3,1,0,0,1
139,1,94.5,7,28,4,1,0,3,0,1
117,2,93.6,12,26,4,2,1,0,0,1
39,0,120.6,4,20,4,4,1,0,3,0
86,1,99.3,4,6,4,3,0,0,3,1
2,1,258.0,9,2,4,1,0,0,5,1
19,2,120.12,5,3,4,3,0,0,3,1
192,0,95.0,6,24,3,2,0,0,0,1
2,1,0.0,9,10,1,1,0,0,0,1
86,0,75.0,12,18,3,1,2,0,0,1
30,2,157.5,10,5,4,3,0,0,3,1
179,1,97.7,6,3,4,2,0,0,3,1
26,0,142.0,4,15,4,2,0,0,3,0
55,0,80.0,4,6,3,1,0,0,0,1
74,1,85.5,4,25,4,2,1,0,0,1
143,0,100.0,8,25,3,3,0,0,0,1
34,2,88.0,11,14,4,0,1,3,0,1
30,1,122.85,8,29,4,1,1,0,0,1
177,0,100.0,6,3,4,2,0,0,0,0
34,0,75.0,10,25,3,3,2,0,3,1
18,1,116.8,3,9,4,4,1,0,3,1
267,0,121.5,12,31,4,1,1,0,3,1
64,1,111.9,6,27,4,2,1,0,0,1
155,2,121.55,6,28,4,5,2,0,3,0
46,1,75.0,3,29,3,5,0,0,0,1
83,0,159.3,4,1,4,2,0,0,5,0
128,0,132.3,10,11,4,5,0,0,3,0
20,2,88.0,12,25,4,0,2,3,0,1
40,0,98.82,3,14,4,4,1,0,3,1
46,1,98.3,3,4,4,2,1,0,3,1
1,2,150.0,10,17,4,0,1,0,0,1
196,1,96.05,9,4,4,3,2,3,0,1
188,0,130.0,6,15,4,2,0,0,0,0
17,0,95.0,12,10,4,1,0,3,0,1
146,0,113.56,8,9,3,3,0,0,4,1
110,1,101.58,5,5,4,3,1,3,0,1
68,0,105.3,3,18,4,2,1,0,0,1
73,1,115.8,4,9,4,1,2,0,3,1
92,1,149.4,5,19,4,1,0,0,3,1
171,0,111.59,8,30,4,5,2,0,0,0
